,event_id,squadnumber,team_name,player_name_x,player_id,rating,minutes_played,shotstotal,shotson,offsides,gconceded,gassists,gtotal,ptotal,pkey,paccuracy,ttotal,tblocks,tinterc,dtotal,dwon,dattempts,dsuccess,dpast,fdrawn,fcommit,red,yellow,penaltysuccess,player_name_y,Opponent
104,168032,23,Sunderland,Grant Leadbitter,19904,7.5,74,1,0,,0,0,0,47,4,95,0,0,1,0,0,0,0,1,2,0,0,0,0,Grant Leadbitter,Bolton
105,168032,11,Sunderland,Lynden Gooch,19901,6.5,90,5,1,,0,0,0,31,1,73,0,0,1,0,0,2,2,2,0,0,0,0,0,Lynden Gooch,Bolton
106,168032,7,Sunderland,Chris Maguire,19916,6.8,66,1,1,,0,0,0,15,5,78,0,0,2,0,0,0,0,1,1,1,0,0,0,Chris Maguire,Bolton
107,168032,19,Sunderland,Aiden McGeady,19907,7.7,90,6,3,,0,0,1,30,1,83,0,0,0,0,0,5,5,3,3,1,0,1,1,Aiden McGeady,Bolton
108,168032,22,Sunderland,Will Grigg,19915,6.4,90,2,0,,0,0,0,11,0,68,0,0,0,0,0,0,0,0,0,1,0,0,0,Will Grigg,Bolton
109,168032,2,Sunderland,Connor McLaughlin,19633,6.8,45,0,0,,0,0,0,17,2,68,0,0,1,0,0,3,3,2,2,1,0,0,0,Connor McLaughlin,Bolton
110,168032,6,Sunderland,Max Power,19912,6.7,16,0,0,,0,0,0,11,1,84,0,0,0,0,0,0,0,0,0,2,0,1,0,Max Power,Bolton
111,168032,9,Sunderland,Charlie Wyke,19918,6.6,24,0,0,,0,0,0,2,0,66,0,0,0,0,0,0,0,0,1,0,0,0,0,Charlie Wyke,Bolton
112,168053,1,Sunderland,Jon McLaughlin,19880,7.2,90,0,0,,1,0,0,10,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,Jon McLaughlin,MK Dons
113,168053,2,Sunderland,Connor McLaughlin,19633,7.3,90,0,0,,0,1,0,37,2,78,0,1,1,0,0,0,0,0,1,1,0,0,0,Connor McLaughlin,MK Dons
